name,state,region
Denali Borough,AK,"Denali Borough, AK"
Dillingham Census Area,AK,"Dillingham Census Area, AK"
Fairbanks North Star Borough,AK,"Fairbanks North Star Borough, AK"
Haines Borough,AK,"Haines Borough, AK"
Hoonah-Angoon Census Area,AK,"Hoonah-Angoon Census Area, AK"
Juneau City and Borough,AK,"Juneau City and Borough, AK"
Kenai Peninsula Borough,AK,"Kenai Peninsula Borough, AK"
Ketchikan Gateway Borough,AK,"Ketchikan Gateway Borough, AK"
Kodiak Island Borough,AK,"Kodiak Island Borough, AK"
Lake and Peninsula Borough,AK,"Lake and Peninsula Borough, AK"
Matanuska-Susitna Borough,AK,"Matanuska-Susitna Borough, AK"
Nome Census Area,AK,"Nome Census Area, AK"
North Slope Borough,AK,"North Slope Borough, AK"
Northwest Arctic Borough,AK,"Northwest Arctic Borough, AK"
Petersburg Borough,AK,"Petersburg Borough, AK"
Prince of Wales-Hyder Census Area,AK,"Prince of Wales-Hyder Census Area, AK"
Sitka City and Borough,AK,"Sitka City and Borough, AK"
Skagway Municipality,AK,"Skagway Municipality, AK"
Southeast Fairbanks Census Area,AK,"Southeast Fairbanks Census Area, AK"
Valdez-Cordova Census Area,AK,"Valdez-Cordova Census Area, AK"
Wade Hampton Census Area,AK,"Wade Hampton Census Area, AK"
Wrangell City and Borough,AK,"Wrangell City and Borough, AK"
Yakutat City and Borough,AK,"Yakutat City and Borough, AK"
Yukon-Koyukuk Census Area,AK,"Yukon-Koyukuk Census Area, AK"
Apache County,AZ,"Apache County, AZ"
Cochise County,AZ,"Cochise County, AZ"
Coconino County,AZ,"Coconino County, AZ"
Gila County,AZ,"Gila County, AZ"
Graham County,AZ,"Graham County, AZ"
Greenlee County,AZ,"Greenlee County, AZ"
La Paz County,AZ,"La Paz County, AZ"
Maricopa County,AZ,"Maricopa County, AZ"
Mohave County,AZ,"Mohave County, AZ"
Navajo County,AZ,"Navajo County, AZ"
Pima County,AZ,"Pima County, AZ"
Pinal County,AZ,"Pinal County, AZ"
Santa Cruz County,AZ,"Santa Cruz County, AZ"
Yavapai County,AZ,"Yavapai County, AZ"
Yuma County,AZ,"Yuma County, AZ"
Arkansas County,AR,"Arkansas County, AR"
Ashley County,AR,"Ashley County, AR"
Baxter County,AR,"Baxter County, AR"
Benton County,AR,"Benton County, AR"
Boone County,AR,"Boone County, AR"
Bradley County,AR,"Bradley County, AR"
Calhoun County,AR,"Calhoun County, AR"
Carroll County,AR,"Carroll County, AR"
Chicot County,AR,"Chicot County, AR"
Clark County,AR,"Clark County, AR"
Clay County,AR,"Clay County, AR"
Cleburne County,AR,"Cleburne County, AR"
Cleveland County,AR,"Cleveland County, AR"
Columbia County,AR,"Columbia County, AR"
Conway County,AR,"Conway County, AR"
Craighead County,AR,"Craighead County, AR"
Crawford County,AR,"Crawford County, AR"
Crittenden County,AR,"Crittenden County, AR"
Cross County,AR,"Cross County, AR"
Dallas County,AR,"Dallas County, AR"
Desha County,AR,"Desha County, AR"
Drew County,AR,"Drew County, AR"
Faulkner County,AR,"Faulkner County, AR"
Franklin County,AR,"Franklin County, AR"
Fulton County,AR,"Fulton County, AR"
Garland County,AR,"Garland County, AR"
Grant County,AR,"Grant County, AR"
Greene County,AR,"Greene County, AR"
Hempstead County,AR,"Hempstead County, AR"
Hot Spring County,AR,"Hot Spring County, AR"
Howard County,AR,"Howard County, AR"
Independence County,AR,"Independence County, AR"
Izard County,AR,"Izard County, AR"
Jackson County,AR,"Jackson County, AR"
Jefferson County,AR,"Jefferson County, AR"
Johnson County,AR,"Johnson County, AR"
Lafayette County,AR,"Lafayette County, AR"
Lawrence County,AR,"Lawrence County, AR"
Lee County,AR,"Lee County, AR"
Lincoln County,AR,"Lincoln County, AR"
Little River County,AR,"Little River County, AR"
Logan County,AR,"Logan County, AR"
Lonoke County,AR,"Lonoke County, AR"
Madison County,AR,"Madison County, AR"
Marion County,AR,"Marion County, AR"
Miller County,AR,"Miller County, AR"
Mississippi County,AR,"Mississippi County, AR"
Monroe County,AR,"Monroe County, AR"
Montgomery County,AR,"Montgomery County, AR"
Nevada County,AR,"Nevada County, AR"
Newton County,AR,"Newton County, AR"
Ouachita County,AR,"Ouachita County, AR"
Perry County,AR,"Perry County, AR"
Phillips County,AR,"Phillips County, AR"
Pike County,AR,"Pike County, AR"
Poinsett County,AR,"Poinsett County, AR"
Polk County,AR,"Polk County, AR"
Pope County,AR,"Pope County, AR"
Prairie County,AR,"Prairie County, AR"
Pulaski County,AR,"Pulaski County, AR"
Randolph County,AR,"Randolph County, AR"
St. Francis County,AR,"St. Francis County, AR"
Saline County,AR,"Saline County, AR"
Scott County,AR,"Scott County, AR"
Searcy County,AR,"Searcy County, AR"
Sebastian County,AR,"Sebastian County, AR"
Sevier County,AR,"Sevier County, AR"
Sharp County,AR,"Sharp County, AR"
Stone County,AR,"Stone County, AR"
Union County,AR,"Union County, AR"
Van Buren County,AR,"Van Buren County, AR"
Washington County,AR,"Washington County, AR"
White County,AR,"White County, AR"
Woodruff County,AR,"Woodruff County, AR"
Yell County,AR,"Yell County, AR"
Alameda County,CA,"Alameda County, CA"
Alpine County,CA,"Alpine County, CA"
Amador County,CA,"Amador County, CA"
Butte County,CA,"Butte County, CA"
Calaveras County,CA,"Calaveras County, CA"
Colusa County,CA,"Colusa County, CA"
Contra Costa County,CA,"Contra Costa County, CA"
Del Norte County,CA,"Del Norte County, CA"
El Dorado County,CA,"El Dorado County, CA"
Fresno County,CA,"Fresno County, CA"
Glenn County,CA,"Glenn County, CA"
Humboldt County,CA,"Humboldt County, CA"
Imperial County,CA,"Imperial County, CA"
Inyo County,CA,"Inyo County, CA"
Kern County,CA,"Kern County, CA"
Kings County,CA,"Kings County, CA"
Lake County,CA,"Lake County, CA"
Lassen County,CA,"Lassen County, CA"
Los Angeles County,CA,"Los Angeles County, CA"
Madera County,CA,"Madera County, CA"
Marin County,CA,"Marin County, CA"
Mariposa County,CA,"Mariposa County, CA"
Mendocino County,CA,"Mendocino County, CA"
Merced County,CA,"Merced County, CA"
Modoc County,CA,"Modoc County, CA"
Mono County,CA,"Mono County, CA"
Monterey County,CA,"Monterey County, CA"
Napa County,CA,"Napa County, CA"
Nevada County,CA,"Nevada County, CA"
Orange County,CA,"Orange County, CA"
Placer County,CA,"Placer County, CA"
Plumas County,CA,"Plumas County, CA"
Riverside County,CA,"Riverside County, CA"
Sacramento County,CA,"Sacramento County, CA"
San Benito County,CA,"San Benito County, CA"
San Bernardino County,CA,"San Bernardino County, CA"
San Diego County,CA,"San Diego County, CA"
San Francisco County,CA,"San Francisco County, CA"
San Joaquin County,CA,"San Joaquin County, CA"
San Luis Obispo County,CA,"San Luis Obispo County, CA"
San Mateo County,CA,"San Mateo County, CA"
Santa Barbara County,CA,"Santa Barbara County, CA"
Santa Clara County,CA,"Santa Clara County, CA"
Santa Cruz County,CA,"Santa Cruz County, CA"
Shasta County,CA,"Shasta County, CA"
Sierra County,CA,"Sierra County, CA"
Siskiyou County,CA,"Siskiyou County, CA"
Solano County,CA,"Solano County, CA"
Sonoma County,CA,"Sonoma County, CA"
Stanislaus County,CA,"Stanislaus County, CA"
Sutter County,CA,"Sutter County, CA"
Tehama County,CA,"Tehama County, CA"
Trinity County,CA,"Trinity County, CA"
Tulare County,CA,"Tulare County, CA"
Tuolumne County,CA,"Tuolumne County, CA"
Ventura County,CA,"Ventura County, CA"
Yolo County,CA,"Yolo County, CA"
Yuba County,CA,"Yuba County, CA"
Adams County,CO,"Adams County, CO"
Alamosa County,CO,"Alamosa County, CO"
Arapahoe County,CO,"Arapahoe County, CO"
Archuleta County,CO,"Archuleta County, CO"
Baca County,CO,"Baca County, CO"
Bent County,CO,"Bent County, CO"
Boulder County,CO,"Boulder County, CO"
Broomfield County,CO,"Broomfield County, CO"
Chaffee County,CO,"Chaffee County, CO"
Cheyenne County,CO,"Cheyenne County, CO"
Clear Creek County,CO,"Clear Creek County, CO"
Conejos County,CO,"Conejos County, CO"
Costilla County,CO,"Costilla County, CO"
Crowley County,CO,"Crowley County, CO"
Custer County,CO,"Custer County, CO"
Delta County,CO,"Delta County, CO"
Denver County,CO,"Denver County, CO"
Dolores County,CO,"Dolores County, CO"
Douglas County,CO,"Douglas County, CO"
Eagle County,CO,"Eagle County, CO"
Elbert County,CO,"Elbert County, CO"
El Paso County,CO,"El Paso County, CO"
Fremont County,CO,"Fremont County, CO"
Garfield County,CO,"Garfield County, CO"
Gilpin County,CO,"Gilpin County, CO"
Grand County,CO,"Grand County, CO"
Gunnison County,CO,"Gunnison County, CO"
Hinsdale County,CO,"Hinsdale County, CO"
Huerfano County,CO,"Huerfano County, CO"
Jackson County,CO,"Jackson County, CO"
Jefferson County,CO,"Jefferson County, CO"
Kiowa County,CO,"Kiowa County, CO"
Kit Carson County,CO,"Kit Carson County, CO"
Lake County,CO,"Lake County, CO"
La Plata County,CO,"La Plata County, CO"
Larimer County,CO,"Larimer County, CO"
Las Animas County,CO,"Las Animas County, CO"
Lincoln County,CO,"Lincoln County, CO"
Logan County,CO,"Logan County, CO"
Mesa County,CO,"Mesa County, CO"
Mineral County,CO,"Mineral County, CO"
Moffat County,CO,"Moffat County, CO"
Montezuma County,CO,"Montezuma County, CO"
Montrose County,CO,"Montrose County, CO"
Morgan County,CO,"Morgan County, CO"
Otero County,CO,"Otero County, CO"
Ouray County,CO,"Ouray County, CO"
Park County,CO,"Park County, CO"
Phillips County,CO,"Phillips County, CO"
Pitkin County,CO,"Pitkin County, CO"
Prowers County,CO,"Prowers County, CO"
Pueblo County,CO,"Pueblo County, CO"
Rio Blanco County,CO,"Rio Blanco County, CO"
Rio Grande County,CO,"Rio Grande County, CO"
Routt County,CO,"Routt County, CO"
Saguache County,CO,"Saguache County, CO"
San Juan County,CO,"San Juan County, CO"
San Miguel County,CO,"San Miguel County, CO"
Sedgwick County,CO,"Sedgwick County, CO"
Summit County,CO,"Summit County, CO"
Teller County,CO,"Teller County, CO"
Washington County,CO,"Washington County, CO"
Weld County,CO,"Weld County, CO"
Yuma County,CO,"Yuma County, CO"
Fairfield County,CT,"Fairfield County, CT"
Hartford County,CT,"Hartford County, CT"
Litchfield County,CT,"Litchfield County, CT"
Middlesex County,CT,"Middlesex County, CT"
New Haven County,CT,"New Haven County, CT"
New London County,CT,"New London County, CT"
Tolland County,CT,"Tolland County, CT"
Windham County,CT,"Windham County, CT"
Kent County,DE,"Kent County, DE"
New Castle County,DE,"New Castle County, DE"
Sussex County,DE,"Sussex County, DE"
District of Columbia,DC,"District of Columbia, DC"
Alachua County,FL,"Alachua County, FL"
Baker County,FL,"Baker County, FL"
Bay County,FL,"Bay County, FL"
Bradford County,FL,"Bradford County, FL"
Brevard County,FL,"Brevard County, FL"
Broward County,FL,"Broward County, FL"
Calhoun County,FL,"Calhoun County, FL"
Charlotte County,FL,"Charlotte County, FL"
Citrus County,FL,"Citrus County, FL"
Clay County,FL,"Clay County, FL"
Collier County,FL,"Collier County, FL"
Columbia County,FL,"Columbia County, FL"
DeSoto County,FL,"DeSoto County, FL"
Dixie County,FL,"Dixie County, FL"
Duval County,FL,"Duval County, FL"
Escambia County,FL,"Escambia County, FL"
Flagler County,FL,"Flagler County, FL"
Franklin County,FL,"Franklin County, FL"
Gadsden County,FL,"Gadsden County, FL"
Gilchrist County,FL,"Gilchrist County, FL"
Glades County,FL,"Glades County, FL"
Gulf County,FL,"Gulf County, FL"
Hamilton County,FL,"Hamilton County, FL"
Hardee County,FL,"Hardee County, FL"
Hendry County,FL,"Hendry County, FL"
Hernando County,FL,"Hernando County, FL"
Highlands County,FL,"Highlands County, FL"
Hillsborough County,FL,"Hillsborough County, FL"
Holmes County,FL,"Holmes County, FL"
Indian River County,FL,"Indian River County, FL"
Jackson County,FL,"Jackson County, FL"
Jefferson County,FL,"Jefferson County, FL"
Lafayette County,FL,"Lafayette County, FL"
Lake County,FL,"Lake County, FL"
Lee County,FL,"Lee County, FL"
Leon County,FL,"Leon County, FL"
Levy County,FL,"Levy County, FL"
Liberty County,FL,"Liberty County, FL"
Madison County,FL,"Madison County, FL"
Manatee County,FL,"Manatee County, FL"
Marion County,FL,"Marion County, FL"
Martin County,FL,"Martin County, FL"
Miami-Dade County,FL,"Miami-Dade County, FL"
Monroe County,FL,"Monroe County, FL"
Nassau County,FL,"Nassau County, FL"
Okaloosa County,FL,"Okaloosa County, FL"
Okeechobee County,FL,"Okeechobee County, FL"
Orange County,FL,"Orange County, FL"
Osceola County,FL,"Osceola County, FL"
Palm Beach County,FL,"Palm Beach County, FL"
Pasco County,FL,"Pasco County, FL"
Pinellas County,FL,"Pinellas County, FL"
Polk County,FL,"Polk County, FL"
Putnam County,FL,"Putnam County, FL"
St. Johns County,FL,"St. Johns County, FL"
St. Lucie County,FL,"St. Lucie County, FL"
Santa Rosa County,FL,"Santa Rosa County, FL"
Sarasota County,FL,"Sarasota County, FL"
Seminole County,FL,"Seminole County, FL"
Sumter County,FL,"Sumter County, FL"
Suwannee County,FL,"Suwannee County, FL"
Taylor County,FL,"Taylor County, FL"
Union County,FL,"Union County, FL"
Volusia County,FL,"Volusia County, FL"
Wakulla County,FL,"Wakulla County, FL"
Walton County,FL,"Walton County, FL"
Washington County,FL,"Washington County, FL"
Appling County,GA,"Appling County, GA"
Atkinson County,GA,"Atkinson County, GA"
Bacon County,GA,"Bacon County, GA"
Baker County,GA,"Baker County, GA"
Baldwin County,GA,"Baldwin County, GA"
Banks County,GA,"Banks County, GA"
Barrow County,GA,"Barrow County, GA"
Bartow County,GA,"Bartow County, GA"
Ben Hill County,GA,"Ben Hill County, GA"
Berrien County,GA,"Berrien County, GA"
Bibb County,GA,"Bibb County, GA"
Bleckley County,GA,"Bleckley County, GA"
Brantley County,GA,"Brantley County, GA"
Brooks County,GA,"Brooks County, GA"
Bryan County,GA,"Bryan County, GA"
Bulloch County,GA,"Bulloch County, GA"
Burke County,GA,"Burke County, GA"
Butts County,GA,"Butts County, GA"
Calhoun County,GA,"Calhoun County, GA"
Camden County,GA,"Camden County, GA"
Candler County,GA,"Candler County, GA"
Carroll County,GA,"Carroll County, GA"
Catoosa County,GA,"Catoosa County, GA"
Charlton County,GA,"Charlton County, GA"
Chatham County,GA,"Chatham County, GA"
Chattahoochee County,GA,"Chattahoochee County, GA"
Chattooga County,GA,"Chattooga County, GA"
Cherokee County,GA,"Cherokee County, GA"
Clarke County,GA,"Clarke County, GA"
Clay County,GA,"Clay County, GA"
Clayton County,GA,"Clayton County, GA"
Clinch County,GA,"Clinch County, GA"
Cobb County,GA,"Cobb County, GA"
Coffee County,GA,"Coffee County, GA"
Colquitt County,GA,"Colquitt County, GA"
Columbia County,GA,"Columbia County, GA"
Cook County,GA,"Cook County, GA"
Coweta County,GA,"Coweta County, GA"
Crawford County,GA,"Crawford County, GA"
Crisp County,GA,"Crisp County, GA"
Dade County,GA,"Dade County, GA"
Dawson County,GA,"Dawson County, GA"
Decatur County,GA,"Decatur County, GA"
DeKalb County,GA,"DeKalb County, GA"
Dodge County,GA,"Dodge County, GA"
Dooly County,GA,"Dooly County, GA"
Dougherty County,GA,"Dougherty County, GA"
Douglas County,GA,"Douglas County, GA"
Early County,GA,"Early County, GA"
Echols County,GA,"Echols County, GA"
Effingham County,GA,"Effingham County, GA"
Elbert County,GA,"Elbert County, GA"
Emanuel County,GA,"Emanuel County, GA"
Evans County,GA,"Evans County, GA"
Fannin County,GA,"Fannin County, GA"
Fayette County,GA,"Fayette County, GA"
Floyd County,GA,"Floyd County, GA"
Forsyth County,GA,"Forsyth County, GA"
Franklin County,GA,"Franklin County, GA"
Fulton County,GA,"Fulton County, GA"
Gilmer County,GA,"Gilmer County, GA"
Glascock County,GA,"Glascock County, GA"
Glynn County,GA,"Glynn County, GA"
Gordon County,GA,"Gordon County, GA"
Grady County,GA,"Grady County, GA"
Greene County,GA,"Greene County, GA"
Gwinnett County,GA,"Gwinnett County, GA"
Habersham County,GA,"Habersham County, GA"
Hall County,GA,"Hall County, GA"
Hancock County,GA,"Hancock County, GA"
Haralson County,GA,"Haralson County, GA"
Harris County,GA,"Harris County, GA"
Hart County,GA,"Hart County, GA"
Heard County,GA,"Heard County, GA"
Henry County,GA,"Henry County, GA"
Houston County,GA,"Houston County, GA"
Irwin County,GA,"Irwin County, GA"
Jackson County,GA,"Jackson County, GA"
Jasper County,GA,"Jasper County, GA"
Jeff Davis County,GA,"Jeff Davis County, GA"
Jefferson County,GA,"Jefferson County, GA"
Jenkins County,GA,"Jenkins County, GA"
Johnson County,GA,"Johnson County, GA"
Jones County,GA,"Jones County, GA"
Lamar County,GA,"Lamar County, GA"
Lanier County,GA,"Lanier County, GA"
Laurens County,GA,"Laurens County, GA"
Lee County,GA,"Lee County, GA"
Liberty County,GA,"Liberty County, GA"
Lincoln County,GA,"Lincoln County, GA"
Long County,GA,"Long County, GA"
Lowndes County,GA,"Lowndes County, GA"
Lumpkin County,GA,"Lumpkin County, GA"
McDuffie County,GA,"McDuffie County, GA"
McIntosh County,GA,"McIntosh County, GA"
Macon County,GA,"Macon County, GA"
Madison County,GA,"Madison County, GA"
Marion County,GA,"Marion County, GA"
Meriwether County,GA,"Meriwether County, GA"
Miller County,GA,"Miller County, GA"
Mitchell County,GA,"Mitchell County, GA"
Monroe County,GA,"Monroe County, GA"
Montgomery County,GA,"Montgomery County, GA"
Morgan County,GA,"Morgan County, GA"
Murray County,GA,"Murray County, GA"
Muscogee County,GA,"Muscogee County, GA"
Newton County,GA,"Newton County, GA"
Oconee County,GA,"Oconee County, GA"
Oglethorpe County,GA,"Oglethorpe County, GA"
Paulding County,GA,"Paulding County, GA"
Peach County,GA,"Peach County, GA"
Pickens County,GA,"Pickens County, GA"
Pierce County,GA,"Pierce County, GA"
Pike County,GA,"Pike County, GA"
Polk County,GA,"Polk County, GA"
Pulaski County,GA,"Pulaski County, GA"
Putnam County,GA,"Putnam County, GA"
Quitman County,GA,"Quitman County, GA"
Rabun County,GA,"Rabun County, GA"
Randolph County,GA,"Randolph County, GA"
Richmond County,GA,"Richmond County, GA"
Rockdale County,GA,"Rockdale County, GA"
Schley County,GA,"Schley County, GA"
Screven County,GA,"Screven County, GA"
Seminole County,GA,"Seminole County, GA"
Spalding County,GA,"Spalding County, GA"
Stephens County,GA,"Stephens County, GA"
Stewart County,GA,"Stewart County, GA"
Sumter County,GA,"Sumter County, GA"
Talbot County,GA,"Talbot County, GA"
Taliaferro County,GA,"Taliaferro County, GA"
Tattnall County,GA,"Tattnall County, GA"
Taylor County,GA,"Taylor County, GA"
Telfair County,GA,"Telfair County, GA"
Terrell County,GA,"Terrell County, GA"
Thomas County,GA,"Thomas County, GA"
Tift County,GA,"Tift County, GA"
Toombs County,GA,"Toombs County, GA"
Towns County,GA,"Towns County, GA"
Treutlen County,GA,"Treutlen County, GA"
Troup County,GA,"Troup County, GA"
Turner County,GA,"Turner County, GA"
Twiggs County,GA,"Twiggs County, GA"
Union County,GA,"Union County, GA"
Upson County,GA,"Upson County, GA"
Walker County,GA,"Walker County, GA"
Walton County,GA,"Walton County, GA"
Ware County,GA,"Ware County, GA"
Warren County,GA,"Warren County, GA"
Washington County,GA,"Washington County, GA"
Wayne County,GA,"Wayne County, GA"
Webster County,GA,"Webster County, GA"
Wheeler County,GA,"Wheeler County, GA"
White County,GA,"White County, GA"
Whitfield County,GA,"Whitfield County, GA"
Wilcox County,GA,"Wilcox County, GA"
Wilkes County,GA,"Wilkes County, GA"
Wilkinson County,GA,"Wilkinson County, GA"
Worth County,GA,"Worth County, GA"
Hawaii County,HI,"Hawaii County, HI"
Honolulu County,HI,"Honolulu County, HI"
Kalawao County,HI,"Kalawao County, HI"
Kauai County,HI,"Kauai County, HI"
Maui County,HI,"Maui County, HI"
Ada County,ID,"Ada County, ID"
Adams County,ID,"Adams County, ID"
Bannock County,ID,"Bannock County, ID"
Bear Lake County,ID,"Bear Lake County, ID"
Benewah County,ID,"Benewah County, ID"
Bingham County,ID,"Bingham County, ID"
Blaine County,ID,"Blaine County, ID"
Boise County,ID,"Boise County, ID"
Bonner County,ID,"Bonner County, ID"
Bonneville County,ID,"Bonneville County, ID"
Boundary County,ID,"Boundary County, ID"
Butte County,ID,"Butte County, ID"
Camas County,ID,"Camas County, ID"
Canyon County,ID,"Canyon County, ID"
Caribou County,ID,"Caribou County, ID"
Cassia County,ID,"Cassia County, ID"
Clark County,ID,"Clark County, ID"
Clearwater County,ID,"Clearwater County, ID"
Custer County,ID,"Custer County, ID"
Elmore County,ID,"Elmore County, ID"
Franklin County,ID,"Franklin County, ID"
Fremont County,ID,"Fremont County, ID"
Gem County,ID,"Gem County, ID"
Gooding County,ID,"Gooding County, ID"
Idaho County,ID,"Idaho County, ID"
Jefferson County,ID,"Jefferson County, ID"
Jerome County,ID,"Jerome County, ID"
Kootenai County,ID,"Kootenai County, ID"
Latah County,ID,"Latah County, ID"
Lemhi County,ID,"Lemhi County, ID"
Lewis County,ID,"Lewis County, ID"
Lincoln County,ID,"Lincoln County, ID"
Madison County,ID,"Madison County, ID"
Minidoka County,ID,"Minidoka County, ID"
Nez Perce County,ID,"Nez Perce County, ID"
Oneida County,ID,"Oneida County, ID"
Owyhee County,ID,"Owyhee County, ID"
Payette County,ID,"Payette County, ID"
Power County,ID,"Power County, ID"
Shoshone County,ID,"Shoshone County, ID"
Teton County,ID,"Teton County, ID"
Twin Falls County,ID,"Twin Falls County, ID"
Valley County,ID,"Valley County, ID"
Washington County,ID,"Washington County, ID"
Adams County,IL,"Adams County, IL"
Alexander County,IL,"Alexander County, IL"
Bond County,IL,"Bond County, IL"
Boone County,IL,"Boone County, IL"
Brown County,IL,"Brown County, IL"
Bureau County,IL,"Bureau County, IL"
Calhoun County,IL,"Calhoun County, IL"
Carroll County,IL,"Carroll County, IL"
Cass County,IL,"Cass County, IL"
Champaign County,IL,"Champaign County, IL"
Christian County,IL,"Christian County, IL"
Clark County,IL,"Clark County, IL"
Clay County,IL,"Clay County, IL"
Clinton County,IL,"Clinton County, IL"
Coles County,IL,"Coles County, IL"
Cook County,IL,"Cook County, IL"
Crawford County,IL,"Crawford County, IL"
Cumberland County,IL,"Cumberland County, IL"
DeKalb County,IL,"DeKalb County, IL"
De Witt County,IL,"De Witt County, IL"
Douglas County,IL,"Douglas County, IL"
DuPage County,IL,"DuPage County, IL"
Edgar County,IL,"Edgar County, IL"
Edwards County,IL,"Edwards County, IL"
Effingham County,IL,"Effingham County, IL"
Fayette County,IL,"Fayette County, IL"
Ford County,IL,"Ford County, IL"
Franklin County,IL,"Franklin County, IL"
Fulton County,IL,"Fulton County, IL"
Gallatin County,IL,"Gallatin County, IL"
Greene County,IL,"Greene County, IL"
Grundy County,IL,"Grundy County, IL"
Hamilton County,IL,"Hamilton County, IL"
Hancock County,IL,"Hancock County, IL"
Hardin County,IL,"Hardin County, IL"
Henderson County,IL,"Henderson County, IL"
Henry County,IL,"Henry County, IL"
Iroquois County,IL,"Iroquois County, IL"
Jackson County,IL,"Jackson County, IL"
Jasper County,IL,"Jasper County, IL"
Jefferson County,IL,"Jefferson County, IL"
Jersey County,IL,"Jersey County, IL"
Jo Daviess County,IL,"Jo Daviess County, IL"
Johnson County,IL,"Johnson County, IL"
Kane County,IL,"Kane County, IL"
Kankakee County,IL,"Kankakee County, IL"
Kendall County,IL,"Kendall County, IL"
Knox County,IL,"Knox County, IL"
Lake County,IL,"Lake County, IL"
LaSalle County,IL,"LaSalle County, IL"
Lawrence County,IL,"Lawrence County, IL"
Lee County,IL,"Lee County, IL"
Livingston County,IL,"Livingston County, IL"
Logan County,IL,"Logan County, IL"
McDonough County,IL,"McDonough County, IL"
McHenry County,IL,"McHenry County, IL"
McLean County,IL,"McLean County, IL"
Macon County,IL,"Macon County, IL"
Macoupin County,IL,"Macoupin County, IL"
Madison County,IL,"Madison County, IL"
Marion County,IL,"Marion County, IL"
Marshall County,IL,"Marshall County, IL"
Mason County,IL,"Mason County, IL"
Massac County,IL,"Massac County, IL"
Menard County,IL,"Menard County, IL"
Mercer County,IL,"Mercer County, IL"
Monroe County,IL,"Monroe County, IL"
Montgomery County,IL,"Montgomery County, IL"
Morgan County,IL,"Morgan County, IL"
Moultrie County,IL,"Moultrie County, IL"
Ogle County,IL,"Ogle County, IL"
Peoria County,IL,"Peoria County, IL"
Perry County,IL,"Perry County, IL"
Piatt County,IL,"Piatt County, IL"
Pike County,IL,"Pike County, IL"
Pope County,IL,"Pope County, IL"
Pulaski County,IL,"Pulaski County, IL"
Putnam County,IL,"Putnam County, IL"
Randolph County,IL,"Randolph County, IL"
Richland County,IL,"Richland County, IL"
Rock Island County,IL,"Rock Island County, IL"
St. Clair County,IL,"St. Clair County, IL"
Saline County,IL,"Saline County, IL"
Sangamon County,IL,"Sangamon County, IL"
